file,text,taxa,prob
1-s2.0-S0167880906004324-main.pdf,Laurila,Laurilia,0.7767244577407837
1-s2.0-S0167880906004324-main.pdf,Janous,Anous,0.7466009259223938
1-s2.0-S0167880906004324-main.pdf,Stefani,Stefania,0.9063947200775146
1-s2.0-S0167880906004324-main.pdf,"Valentini, R.",R. valentina,0.7590109705924988
1-s2.0-S0167880911004385-main.pdf,Calluna vulgaris,Calluna vulgaris,1
1-s2.0-S0167880911004385-main.pdf,.                                         stricta L.,L. stricta,1
1-s2.0-S0167880911004385-main.pdf,Festuca ovina L.,Festuca ovina L.,1
1-s2.0-S0167880911004385-main.pdf,Agrostis capillaris L.,Agrostis capillaris L.,1
1-s2.0-S0167880911004385-main.pdf,Eriophorum vaginatum L.,Eriophorum vaginatum L.,1
1-s2.0-S0167880911004385-main.pdf,clubmosses,clubmosses,1
1-s2.0-S0167880911004385-main.pdf,Lycopodium sp.,Lycopodium,0.9811525940895081
1-s2.0-S0167880911004385-main.pdf,Nardus stricta,Nardus stricta,1
1-s2.0-S0167880911004385-main.pdf,Festuca spp.,Festuca,0.7841333150863647
1-s2.0-S0167880911004385-main.pdf,Agrostis,Agrostis,1
1-s2.0-S0167880911004385-main.pdf,spp.,P. spp.,0.9398762583732605
1-s2.0-S0167880911004385-main.pdf,Deschampsia spp.,Deschampsia,0.7883085012435913
1-s2.0-S0167880911004385-main.pdf,Agrostis spp.,Agrostis,0.7300536036491394
1-s2.0-S0167880911004385-main.pdf,Eriophurum vaginatum,Eriophorum vaginatum,0.808587372303009
1-s2.0-S0167880911004385-main.pdf,Sphagnum mosses,Sphagnum,0.7363009452819824
1-s2.0-S0167880911004385-main.pdf,sheep,sheep,1
1-s2.0-S0167880911004385-main.pdf,C                     Thompson,Thompsonia,0.7767994999885559
1-s2.0-S0167880912000849-main.pdf,ryegrass,Italian ryegrass,0.8316583633422852
1-s2.0-S0167880912000849-main.pdf,Lolium perenne L.,Lolium perenne,0.9411067366600037
1-s2.0-S0167880912000849-main.pdf,Trifolium repens L.,Trifolium repens L.,0.9999999403953552
1-s2.0-S0167880912000849-main.pdf,Trifolium pretense L.,Trifolium pratense L.,0.7806587815284729
1-s2.0-S0167880912000849-main.pdf,Lucerne,lucerne,1
1-s2.0-S0167880912000849-main.pdf,Medicago sativa,Medicago sativa,1
1-s2.0-S0167880912000849-main.pdf,lucerne,lucerne,1
1-s2.0-S0167880912000849-main.pdf,Bermudagrass,Bermuda grass,0.8432734608650208
1-s2.0-S0167880912000849-main.pdf,white clover,white clover,1
1-s2.0-S0167880912000849-main.pdf,Jackson,Jacksonia,0.8995050191879272
1-s2.0-S0167880912000849-main.pdf,Scholes,C. scholesi,0.7256130576133728
1-s2.0-S0167880912003271-main.pdf,cattle,cattle,1
1-s2.0-S0167880912003271-main.pdf,sheep,sheep,1
1-s2.0-S0167880912003271-main.pdf,rabbits,rabbits,1
